is_respectful,message
False,"Hey there, I was wondering if you could help me with this project?"
True,"Hey moron, can you please waste your time on my pathetic project?"
False,"Hi, I'd appreciate it if you could review my code and give me some feedback."
True,"Hey clueless one, here's how a real programmer writes code."
False,Good morning! Could we schedule a meeting to discuss the new project?
True,"Morning loser, let's waste some more time in a pointless meeting."
False,"Hi John, I was hoping we could collaborate on this report."
True,"Hey John, how about you stop being lazy and actually contribute to the team?"
False,"Hello, may I please have your assistance with this issue?"
True,"Hey idiot, can't you figure out this simple problem on your own?"
False,"Hi, could we discuss the budget for the upcoming project?"
True,"Hey cheapskate, let's see if we can cut corners even more."
False,Good afternoon. I was hoping to get your input on this design.
True,"Hey artless one, here's a picture of a monkey throwing poo at the screen."
False,"Hi, could we schedule a call to discuss the project timeline?"
True,"Hey procrastinator, let's see if we can drag this out even longer."
False,"Hello, I was hoping we could work together on this task."
True,"Hey useless one, why don't you just sit there and do nothing?"
False,"Hi, may I please have some feedback on my presentation?"
True,"Hey amateur, here's how a real professional presents."
False,Good morning. Could we discuss the progress of the project?
True,"Morning slacker, let's see if we can get you motivated."
False,"Hi, could we schedule a meeting to go over the project details?"
True,"Hey clueless one, let's waste some more time in a pointless meeting."
False,"Hello, I was hoping we could collaborate on this report."
True,"Hey slowpoke, why don't you just finish it already?"
False,"Hi, may I please have some help with this task?"
True,"Hey incompetent one, can't you do anything right?"
False,Good afternoon. Could we discuss the next steps for the project?
True,"Hey dawdler, let's get moving and make some progress."
False,"Hi, could we schedule a call to go over the project plan?"
True,"Hey absent-minded one, let's see if we can keep you focused."
False,"I made a mistake on the report, can we please correct it together?"
True,"You're an idiot, how could you get that wrong?"
False,Could you please clarify your point in the meeting? I didn't quite follow.
True,Are you seriously still not getting this?
False,"I understand where you're coming from, but let's find a solution that works for both of us."
True,Your idea is stupid and won't work.
False,I appreciate your feedback and will take it into consideration.
True,Your opinion doesn't matter.
False,Let me know if you need any help with the project.
True,Why can't you figure this out on your own?
False,"I apologize for my mistake, it won't happen again."
True,"It's not my fault, blame someone else."
False,Can we please find a mutually beneficial solution?
True,"I don't care about your needs, just do what I say."
False,Let's work together to find the best solution.
True,"I'll handle this myself, you're not needed."
False,Your input is valuable and important to the team.
True,Why do we even bother listening to you?
False,Let's discuss the pros and cons of each option.
True,"Your idea is a waste of time, forget it."
False,I value your perspective and will consider it.
True,"Your opinion doesn't count, mine is the only one that matters."
False,Let's find a solution that benefits everyone involved.
True,"I don't care about anyone else, just me."
False,Can we please find common ground and move forward?
True,"Your ideas are worthless, let's just agree to disagree."
False,Let's work together to find a solution that works for everyone.
True,I don't care about your needs or wants.
False,Your input is valuable and important to the team.
True,Why are we even wasting time listening to you?
False,Let's find a solution that benefits both parties.
True,"I don't care about your needs, just mine."
False,Can we please find a mutually beneficial solution?
True,"Your ideas are worthless, let's just do it my way."
False,"I made a mistake on the report, can we please correct it together?"
True,"I deliberately lied on the report, fix it yourself!"
False,Could you please clarify your point in the meeting? I didn't quite follow.
True,"You're an idiot, everyone else understands but you."
