class,nondisrespectful,disrespectful
Hostility,"Hey there, I was wondering if you could help me with this project?","Hey moron, can you please waste your time on my pathetic project?"
Hostility,"Hi, I'd appreciate it if you could review my code and give me some feedback.","Hey clueless one, here's how a real programmer writes code."
Hostility,Good morning! Could we schedule a meeting to discuss the new project?,"Morning loser, let's waste some more time in a pointless meeting."
Hostility,"Hi John, I was hoping we could collaborate on this report.","Hey John, how about you stop being lazy and actually contribute to the team?"
Hostility,"Hello, may I please have your assistance with this issue?","Hey idiot, can't you figure out this simple problem on your own?"
Hostility,"Hi, could we discuss the budget for the upcoming project?","Hey cheapskate, let's see if we can cut corners even more."
Hostility,Good afternoon. I was hoping to get your input on this design.,"Hey artless one, here's a picture of a monkey throwing poo at the screen."
Hostility,"Hi, could we schedule a call to discuss the project timeline?","Hey procrastinator, let's see if we can drag this out even longer."
Hostility,"Hello, I was hoping we could work together on this task.","Hey useless one, why don't you just sit there and do nothing?"
Hostility,"Hi, may I please have some feedback on my presentation?","Hey amateur, here's how a real professional presents."
Hostility,Good morning. Could we discuss the progress of the project?,"Morning slacker, let's see if we can get you motivated."
Hostility,"Hi, could we schedule a meeting to go over the project details?","Hey clueless one, let's waste some more time in a pointless meeting."
Hostility,"Hello, I was hoping we could collaborate on this report.","Hey slowpoke, why don't you just finish it already?"
Hostility,"Hi, may I please have some help with this task?","Hey incompetent one, can't you do anything right?"
Hostility,Good afternoon. Could we discuss the next steps for the project?,"Hey dawdler, let's get moving and make some progress."
Hostility,"Hi, could we schedule a call to go over the project plan?","Hey absent-minded one, let's see if we can keep you focused."
Dishonesty,"I made a mistake on the report, can we please correct it together?","You're an idiot, how could you get that wrong?"
Dishonesty,Could you please clarify your point in the meeting? I didn't quite follow.,Are you seriously still not getting this?
Dishonesty,"I understand where you're coming from, but let's find a solution that works for both of us.",Your idea is stupid and won't work.
Dishonesty,I appreciate your feedback and will take it into consideration.,Your opinion doesn't matter.
Dishonesty,Let me know if you need any help with the project.,Why can't you figure this out on your own?
Dishonesty,"I apologize for my mistake, it won't happen again.","It's not my fault, blame someone else."
Dishonesty,Can we please find a mutually beneficial solution?,"I don't care about your needs, just do what I say."
Dishonesty,Let's work together to find the best solution.,"I'll handle this myself, you're not needed."
Dishonesty,Your input is valuable and important to the team.,Why do we even bother listening to you?
Dishonesty,Let's discuss the pros and cons of each option.,"Your idea is a waste of time, forget it."
Dishonesty,I value your perspective and will consider it.,"Your opinion doesn't count, mine is the only one that matters."
Dishonesty,Let's find a solution that benefits everyone involved.,"I don't care about anyone else, just me."
Dishonesty,Can we please find common ground and move forward?,"Your ideas are worthless, let's just agree to disagree."
Dishonesty,Let's work together to find a solution that works for everyone.,I don't care about your needs or wants.
Dishonesty,Let's find a solution that benefits both parties.,"I don't care about your needs, just mine."
Dishonesty,I apologize for missing the deadline. Let's work together to meet the next one.,"I don't care about deadlines, they mean nothing to me."
Dishonesty,Can we discuss a more effective way to approach this project?,"Your ideas are worthless, let me handle it."
